0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/admin/movie.htm HTTP/1.1" 200 951673
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/jschartist-plugin-tooltip.min.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:27 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/admin/movie.htm HTTP/1.1" 200 951642
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/jschartist-plugin-tooltip.min.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:34:35 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/admin/movie.htm HTTP/1.1" 200 950595
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterannabell.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/jschartist-plugin-tooltip.min.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posteravatar.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:46 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:51 +0700] "POST /DoAnWebCinema/admin/movie/delete/6.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:51 +0700] "GET /DoAnWebCinema/admin/movie.htm HTTP/1.1" 200 917454
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:51 +0700] "GET /DoAnWebCinema/uploads/posterconan.jpg HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:51 +0700] "GET /DoAnWebCinema/jschartist-plugin-tooltip.min.js HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:51 +0700] "GET /DoAnWebCinema/uploads/posterquatmotrungma.jpg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Jan/2025:19:37:51 +0700] "GET /DoAnWebCinema/uploads/posterphimMai.jpg HTTP/1.1" 404 798
